Sample	Shannon	Simpson	Tail	time	site	cultivar	type	replicate	practice	susceptibility	date	treeID
2023-1-COM-SR-LE-2	4.72343892183266	0.9819170604108725	75.69340764832027	May	COM	Sunrise	Leaf	2	Organic	Moderate	2023-05-15T00:00:00Z	COM_Sunrise_2
2023-1-COM-SR-LE-3	4.657184042985463	0.9833852007320023	64.43184788990642	May	COM	Sunrise	Leaf	3	Organic	Moderate	2023-05-15T00:00:00Z	COM_Sunrise_3
2023-1-MIB-CL-LE-1	1.0111299416724333	0.4773317066614283	1.341880429403723	May	MIB	Cortland	Leaf	1	Organic	High	2023-05-25T00:00:00Z	MIB_Cortland_1
2023-1-MIB-CL-LE-2	2.719262137223563	0.8523278295302985	10.566737838758689	May	MIB	Cortland	Leaf	2	Organic	High	2023-05-25T00:00:00Z	MIB_Cortland_2
2023-1-MIB-CL-LE-3	3.001497105255217	0.8398176197516573	24.114144426348428	May	MIB	Cortland	Leaf	3	Organic	High	2023-05-25T00:00:00Z	MIB_Cortland_3
2023-1-MIB-EM-LE-1	3.1724109953792383	0.8203802690212059	38.26359750324942	May	MIB	Empire	Leaf	1	Organic	Low	2023-05-25T00:00:00Z	MIB_Empire_1
2023-1-MIB-EM-LE-2	1.4718683613973114	0.4697842247288606	10.426438075031948	May	MIB	Empire	Leaf	2	Organic	Low	2023-05-25T00:00:00Z	MIB_Empire_2
2023-1-MIB-EM-LE-3	1.3522352526369836	0.4551648556156379	8.541557197426778	May	MIB	Empire	Leaf	3	Organic	Low	2023-05-25T00:00:00Z	MIB_Empire_3
2023-1-MIB-HC-LE-1	4.3373816619285925	0.9525749320209674	63.421470798140255	May	MIB	Honeycrisp	Leaf	1	Organic	Moderate	2023-05-25T00:00:00Z	MIB_Honeycrisp_1
2023-1-MIB-HC-LE-2	4.020428473433396	0.9633068309880998	34.06566384757834	May	MIB	Honeycrisp	Leaf	2	Organic	Moderate	2023-05-25T00:00:00Z	MIB_Honeycrisp_2
2023-1-MIB-HC-LE-3	4.973185206321579	0.9905604780761158	81.93034842821754	May	MIB	Honeycrisp	Leaf	3	Organic	Moderate	2023-05-25T00:00:00Z	MIB_Honeycrisp_3
2023-1-MIB-LI-LE-1	0.8005403115395807	0.28891347277220103	3.982275844328409	May	MIB	Liberty	Leaf	1	Organic	Low	2023-05-25T00:00:00Z	MIB_Liberty_1
2023-1-MIB-LI-LE-2	0.6286554976658362	0.21015084624848857	3.2712328914684567	May	MIB	Liberty	Leaf	2	Organic	Low	2023-05-25T00:00:00Z	MIB_Liberty_2
2023-1-MIB-LI-LE-3	0.9818601101376612	0.3234044313024067	5.8207412705691315	May	MIB	Liberty	Leaf	3	Organic	Low	2023-05-25T00:00:00Z	MIB_Liberty_3
2023-1-MIB-SP-LE-1	2.22527395689144	0.7151704386844634	9.60372382224829	May	MIB	Spartan	Leaf	1	Organic	Moderate	2023-05-25T00:00:00Z	MIB_Spartan_1
2023-1-MIB-SP-LE-2	0.5964073327040587	0.3019406333681415	0.6780907564293912	May	MIB	Spartan	Leaf	2	Organic	Moderate	2023-05-25T00:00:00Z	MIB_Spartan_2
2023-1-MIB-SP-LE-3	0.9400121737833729	0.4116789528644249	1.5775759825464495	May	MIB	Spartan	Leaf	3	Organic	Moderate	2023-05-25T00:00:00Z	MIB_Spartan_3
2023-1-MIC-CL-LE-1	4.803571369515505	0.9871279246492488	71.3153406603714	May	MIC	Cortland	Leaf	1	Conventional	High	2023-05-25T00:00:00Z	MIC_Cortland_1
2023-1-MIC-CL-LE-2	2.416604972585752	0.8769140104010504	5.6209301103524	May	MIC	Cortland	Leaf	2	Conventional	High	2023-05-25T00:00:00Z	MIC_Cortland_2
2023-1-MIC-CL-LE-3	2.4334548362575834	0.8274935122672429	8.024279875734381	May	MIC	Cortland	Leaf	3	Conventional	High	2023-05-25T00:00:00Z	MIC_Cortland_3
2023-1-MIC-EM-LE-1	4.709333162317307	0.9849153751512081	65.93244130714605	May	MIC	Empire	Leaf	1	Conventional	Low	2023-05-25T00:00:00Z	MIC_Empire_1
2023-1-MIC-EM-LE-2	4.725754198185985	0.9884513187415349	60.76474057995472	May	MIC	Empire	Leaf	2	Conventional	Low	2023-05-25T00:00:00Z	MIC_Empire_2
