Sample	Shannon	Simpson	Tail	time	site	cultivar	type	replicate	practice	susceptibility	date	treeID
2023-1-MIB-SP-LE-1	2.9624432643523058	0.8804301925792452	28.389688115015318	May	MIB	Spartan	Leaf	1	Organic	Moderate	2023-05-25T00:00:00Z	MIB_Spartan_1
2023-1-MIB-SP-LE-2	2.829134072381175	0.8428537287422251	23.89405140814789	May	MIB	Spartan	Leaf	2	Organic	Moderate	2023-05-25T00:00:00Z	MIB_Spartan_2
2023-1-MIB-SP-LE-3	2.1700851171902924	0.7473342963353038	17.78665902564926	May	MIB	Spartan	Leaf	3	Organic	Moderate	2023-05-25T00:00:00Z	MIB_Spartan_3
2023-1-MIC-EM-LE-2	3.3600280965405465	0.8876446001039143	41.574611997232196	May	MIC	Empire	Leaf	2	Conventional	Low	2023-05-25T00:00:00Z	MIC_Empire_2
2023-1-MIC-HC-LE-1	3.43477894961044	0.9152632287637271	40.42857619679115	May	MIC	Honeycrisp	Leaf	1	Conventional	Moderate	2023-05-25T00:00:00Z	MIC_Honeycrisp_1
2023-1-MIC-HC-LE-2	2.2784741413863503	0.7335417252680841	23.895061654085783	May	MIC	Honeycrisp	Leaf	2	Conventional	Moderate	2023-05-25T00:00:00Z	MIC_Honeycrisp_2
2023-1-MIC-HC-LE-3	3.565895993189548	0.911331558194999	42.02353804464936	May	MIC	Honeycrisp	Leaf	3	Conventional	Moderate	2023-05-25T00:00:00Z	MIC_Honeycrisp_3
2023-1-MIC-LI-LE-1	4.319642727524044	0.9688652861758459	60.341920380144735	May	MIC	Liberty	Leaf	1	Conventional	Low	2023-05-25T00:00:00Z	MIC_Liberty_1
2023-1-MIC-SP-LE-1	2.74965911537778	0.825597593482042	27.136622959121585	May	MIC	Spartan	Leaf	1	Conventional	Moderate	2023-05-25T00:00:00Z	MIC_Spartan_1
2023-1-MIC-SP-LE-2	1.3890307939426934	0.40544956189050274	15.305879302603318	May	MIC	Spartan	Leaf	2	Conventional	Moderate	2023-05-25T00:00:00Z	MIC_Spartan_2
2023-1-MIC-SP-LE-3	3.1206817296235743	0.8430620501790298	37.82174595169547	May	MIC	Spartan	Leaf	3	Conventional	Moderate	2023-05-25T00:00:00Z	MIC_Spartan_3
2023-1-PMB-CL-FL-1	2.8760447029370932	0.7529392357035453	50.83256871319339	May	PMB	Cortland	Flower	1	Conventional	High	2023-05-15T00:00:00Z	PMB_Cortland_1
2023-1-PMB-CL-FL-3	4.4231220542469085	0.9646082675763723	85.36764223574417	May	PMB	Cortland	Flower	3	Conventional	High	2023-05-15T00:00:00Z	PMB_Cortland_3
2023-1-PMB-CL-LE-1	4.317314702648342	0.9539408705509629	90.8253137371361	May	PMB	Cortland	Leaf	1	Conventional	High	2023-05-15T00:00:00Z	PMB_Cortland_1
2023-1-PMB-CL-LE-2	3.099214451765237	0.8110785410590629	49.02995622976352	May	PMB	Cortland	Leaf	2	Conventional	High	2023-05-15T00:00:00Z	PMB_Cortland_2
2023-1-PMB-CL-LE-3	3.176801274196816	0.8587094222622655	54.07494333073001	May	PMB	Cortland	Leaf	3	Conventional	High	2023-05-15T00:00:00Z	PMB_Cortland_3
2023-1-PMB-EM-FL-1	3.5551811005208678	0.8956718489708361	56.82796227553464	May	PMB	Empire	Flower	1	Conventional	Low	2023-05-15T00:00:00Z	PMB_Empire_1
2023-1-PMB-EM-FL-2	4.302188312283063	0.9564065362877615	82.01180261561116	May	PMB	Empire	Flower	2	Conventional	Low	2023-05-15T00:00:00Z	PMB_Empire_2
2023-1-PMB-EM-FL-3	4.502752335782369	0.9653791626394715	88.96991680179254	May	PMB	Empire	Flower	3	Conventional	Low	2023-05-15T00:00:00Z	PMB_Empire_3
2023-1-PMB-EM-LE-1	4.12847252998779	0.9561830577921032	80.17286372112459	May	PMB	Empire	Leaf	1	Conventional	Low	2023-05-15T00:00:00Z	PMB_Empire_1
2023-1-PMB-EM-LE-2	3.9277365336839525	0.9283127514573694	84.29083084516127	May	PMB	Empire	Leaf	2	Conventional	Low	2023-05-15T00:00:00Z	PMB_Empire_2
2023-1-PMB-EM-LE-3	4.216535657535884	0.958393168466832	83.17225406052175	May	PMB	Empire	Leaf	3	Conventional	Low	2023-05-15T00:00:00Z	PMB_Empire_3
2023-1-PMB-HC-FL-1	3.749667345796696	0.9193958184847034	71.30839999130465	May	PMB	Honeycrisp	Flower	1	Conventional	Moderate	2023-05-15T00:00:00Z	PMB_Honeycrisp_1
2023-1-PMB-HC-FL-2	4.343918952408806	0.960286743354335	85.28081976613035	May	PMB	Honeycrisp	Flower	2	Conventional	Moderate	2023-05-15T00:00:00Z	PMB_Honeycrisp_2
2023-1-PMB-HC-FL-3	3.753804423654895	0.9309983707924185	57.65834984167648	May	PMB	Honeycrisp	Flower	3	Conventional	Moderate	2023-05-15T00:00:00Z	PMB_Honeycrisp_3
2023-1-PMB-HC-LE-1	3.9068417212244655	0.9207944977761428	80.9022224995929	May	PMB	Honeycrisp	Leaf	1	Conventional	Moderate	2023-05-15T00:00:00Z	PMB_Honeycrisp_1
2023-1-PMB-HC-LE-2	4.666718024253208	0.9721550729266025	103.10392929028728	May	PMB	Honeycrisp	Leaf	2	Conventional	Moderate	2023-05-15T00:00:00Z	PMB_Honeycrisp_2
2023-1-PMB-HC-LE-3	3.783972163320482	0.9278837714428326	67.30136366848207	May	PMB	Honeycrisp	Leaf	3	Conventional	Moderate	2023-05-15T00:00:00Z	PMB_Honeycrisp_3
2023-1-PMB-LI-FL-1	4.485271665269839	0.9635003923210818	92.42483727743246	May	PMB	Liberty	Flower	1	Conventional	Low	2023-05-15T00:00:00Z	PMB_Liberty_1
2023-1-PMB-LI-FL-2	4.700749313843557	0.9707514587787922	102.69684258899977	May	PMB	Liberty	Flower	2	Conventional	Low	2023-05-15T00:00:00Z	PMB_Liberty_2
2023-1-PMB-LI-FL-3	4.306901456260002	0.9617654378169325	73.16117204418101	May	PMB	Liberty	Flower	3	Conventional	Low	2023-05-15T00:00:00Z	PMB_Liberty_3
2023-1-PMB-LI-LE-1	4.218141958624767	0.9570579373287342	80.50184221181662	May	PMB	Liberty	Leaf	1	Conventional	Low	2023-05-15T00:00:00Z	PMB_Liberty_1
2023-1-PMB-LI-LE-3	4.278994030982244	0.9552577722225397	90.23744217215656	May	PMB	Liberty	Leaf	3	Conventional	Low	2023-05-15T00:00:00Z	PMB_Liberty_3
2023-1-PMB-PR-FL-1	4.451966696900332	0.9623128543843734	88.86357339620231	May	PMB	Paulared	Flower	1	Conventional	High	2023-05-15T00:00:00Z	PMB_Paulared_1
2023-1-PMB-PR-FL-2	4.635371374324129	0.9737158974988033	95.69916611249216	May	PMB	Paulared	Flower	2	Conventional	High	2023-05-15T00:00:00Z	PMB_Paulared_2
2023-1-PMB-PR-FL-3	4.273249442587666	0.9465851146402385	82.24181032321269	May	PMB	Paulared	Flower	3	Conventional	High	2023-05-15T00:00:00Z	PMB_Paulared_3
2023-1-PMB-PR-LE-3	4.190601767382247	0.949955974031376	78.06767124124471	May	PMB	Paulared	Leaf	3	Conventional	High	2023-05-15T00:00:00Z	PMB_Paulared_3
2023-1-PMB-SP-FL-1	4.066485146250973	0.9496482504876698	76.25427821062902	May	PMB	Spartan	Flower	1	Conventional	Moderate	2023-05-15T00:00:00Z	PMB_Spartan_1
2023-1-PMB-SP-FL-2	4.055688463535499	0.9594026990844433	59.214211452583754	May	PMB	Spartan	Flower	2	Conventional	Moderate	2023-05-15T00:00:00Z	PMB_Spartan_2
2023-1-PMB-SP-FL-3	4.224818035391144	0.9648602977410344	64.63783689154883	May	PMB	Spartan	Flower	3	Conventional	Moderate	2023-05-15T00:00:00Z	PMB_Spartan_3
2023-1-PMB-SP-LE-1	4.140057424568532	0.95685419825856	78.83395595332668	May	PMB	Spartan	Leaf	1	Conventional	Moderate	2023-05-15T00:00:00Z	PMB_Spartan_1
2023-1-PMB-SP-LE-2	4.1271233712081035	0.9481501690893288	77.76954426453423	May	PMB	Spartan	Leaf	2	Conventional	Moderate	2023-05-15T00:00:00Z	PMB_Spartan_2
2023-1-PMB-SP-LE-3	3.8729546944587847	0.9187824863357357	72.65388139630217	May	PMB	Spartan	Leaf	3	Conventional	Moderate	2023-05-15T00:00:00Z	PMB_Spartan_3
2023-1-PMB-SR-FL-1	3.885464741455443	0.9309130682751482	62.12051543803506	May	PMB	Sunrise	Flower	1	Conventional	Moderate	2023-05-15T00:00:00Z	PMB_Sunrise_1
2023-1-PMB-SR-FL-2	4.115426429896822	0.9603974251329416	56.12325631362039	May	PMB	Sunrise	Flower	2	Conventional	Moderate	2023-05-15T00:00:00Z	PMB_Sunrise_2
2023-1-PMB-SR-FL-3	4.103329409274031	0.9433439714737104	71.71828925925185	May	PMB	Sunrise	Flower	3	Conventional	Moderate	2023-05-15T00:00:00Z	PMB_Sunrise_3
2023-1-PMB-SR-LE-1	4.017573201997721	0.9429851369175902	69.16082087118996	May	PMB	Sunrise	Leaf	1	Conventional	Moderate	2023-05-15T00:00:00Z	PMB_Sunrise_1
2023-1-PMB-SR-LE-2	1.7339680960139399	0.6415655197355468	13.791508600868337	May	PMB	Sunrise	Leaf	2	Conventional	Moderate	2023-05-15T00:00:00Z	PMB_Sunrise_2
2023-1-PMB-SR-LE-3	4.0934354115315745	0.950761765578813	71.48186197281036	May	PMB	Sunrise	Leaf	3	Conventional	Moderate	2023-05-15T00:00:00Z	PMB_Sunrise_3
