File	Read_Count
2023-1-PMB-CL-FL-3-16S_S41_L001_R1_001.fastq.gz	11632
2023-1-PMB-CL-FL-3-16S_S41_L001_R2_001.fastq.gz	11632
2023-1-PMB-CL-LE-1-16S_S38_L001_R1_001.fastq.gz	18624
2023-1-PMB-CL-LE-1-16S_S38_L001_R2_001.fastq.gz	18624
2023-1-PMB-CL-LE-2-16S_S40_L001_R1_001.fastq.gz	22584
2023-1-PMB-CL-LE-2-16S_S40_L001_R2_001.fastq.gz	22584
2023-1-PMB-CL-LE-3-16S_S42_L001_R1_001.fastq.gz	16075
2023-1-PMB-CL-LE-3-16S_S42_L001_R2_001.fastq.gz	16075
2023-1-PMB-EM-FL-1-16S_S67_L001_R1_001.fastq.gz	23215
2023-1-PMB-EM-FL-1-16S_S67_L001_R2_001.fastq.gz	23215
2023-1-PMB-EM-FL-2-16S_S69_L001_R1_001.fastq.gz	25731
2023-1-PMB-EM-FL-2-16S_S69_L001_R2_001.fastq.gz	25731
2023-1-PMB-EM-FL-3-16S_S71_L001_R1_001.fastq.gz	30156
2023-1-PMB-EM-FL-3-16S_S71_L001_R2_001.fastq.gz	30156
2023-1-PMB-EM-LE-1-16S_S68_L001_R1_001.fastq.gz	21437
2023-1-PMB-EM-LE-1-16S_S68_L001_R2_001.fastq.gz	21437
2023-1-PMB-EM-LE-2-16S_S70_L001_R1_001.fastq.gz	19978
2023-1-PMB-EM-LE-2-16S_S70_L001_R2_001.fastq.gz	19978
2023-1-PMB-EM-LE-3-16S_S72_L001_R1_001.fastq.gz	20530
2023-1-PMB-EM-LE-3-16S_S72_L001_R2_001.fastq.gz	20530
2023-1-PMB-HC-FL-1-16S_S49_L001_R1_001.fastq.gz	18795
2023-1-PMB-HC-FL-1-16S_S49_L001_R2_001.fastq.gz	18795
2023-1-PMB-HC-FL-2-16S_S51_L001_R1_001.fastq.gz	20009
2023-1-PMB-HC-FL-2-16S_S51_L001_R2_001.fastq.gz	20009
2023-1-PMB-HC-FL-3-16S_S53_L001_R1_001.fastq.gz	24488
2023-1-PMB-HC-FL-3-16S_S53_L001_R2_001.fastq.gz	24488
2023-1-PMB-HC-LE-1-16S_S50_L001_R1_001.fastq.gz	18026
2023-1-PMB-HC-LE-1-16S_S50_L001_R2_001.fastq.gz	18026
2023-1-PMB-HC-LE-2-16S_S52_L001_R1_001.fastq.gz	19466
2023-1-PMB-HC-LE-2-16S_S52_L001_R2_001.fastq.gz	19466
2023-1-PMB-HC-LE-3-16S_S54_L001_R1_001.fastq.gz	24655
2023-1-PMB-HC-LE-3-16S_S54_L001_R2_001.fastq.gz	24655
